22:50:46.573 DEBUG [DefaultLocalSearchPhase]     LS step (168), time spent (79798), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1128), picked move ([173] Stekene in Parendans {Parendans om 10:36 [2636] -> Parendans om 10:30 [2630]}).
22:50:46.665 DEBUG [DefaultLocalSearchPhase]     LS step (169), time spent (79890), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1136), picked move ([170] Zele Heikant in Kringdans  &  {Kringdans meisjes & gemengd om 08:42 [2491] -> Kringdans meisjes & gemengd om 09:06 [2515]}).
22:50:46.751 DEBUG [DefaultLocalSearchPhase]     LS step (170), time spent (79976), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1142), picked move ([58] Temse-Velle in Basiswimpelen vrije {Basiswimpelen vrije om 10:42 [2239] -> Basiswimpelen vrije om 10:54 [2251]}).
22:50:46.838 DEBUG [DefaultLocalSearchPhase]     LS step (171), time spent (80063), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1134), picked move ([66] Zomergem in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 09:42 [2241] -> Bondsreeks meisjes & gemengd om 09:00 [2199]}).
22:50:46.927 DEBUG [DefaultLocalSearchPhase]     LS step (172), time spent (80152), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1152), picked move ([55] Beervelde in Basiswimpelen vrije {Basiswimpelen vrije om 11:18 [2275] -> Basiswimpelen vrije om 11:24 [2281]}).
22:50:47.009 DEBUG [DefaultLocalSearchPhase]     LS step (173), time spent (80234), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1144), picked move ([[123] Kruibeke 2 in Gilden muziekreeks] {Gilden muziekreeks B om 08:09 [2303]} <-> [[122] Kruibeke 1 in Gilden muziekreeks] {Gilden muziekreeks B om 08:00 [2294]}).
22:50:47.096 DEBUG [DefaultLocalSearchPhase]     LS step (174), time spent (80321), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1145), picked move ([111] Stekene 1 in Gilden muziekreeks {Gilden muziekreeks A om 08:18 [2281] -> Gilden muziekreeks A om 08:36 [2299]}).
22:50:47.184 DEBUG [DefaultLocalSearchPhase]     LS step (175), time spent (80409), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1151), picked move ([43] Melsele 1 in Basiswimpelen muziek {Basiswimpelen muziek A om 11:18 [2213] -> Basiswimpelen muziek A om 10:54 [2189]}).
22:50:47.276 DEBUG [DefaultLocalSearchPhase]     LS step (176), time spent (80501), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1135), picked move ([70] Hamme in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 11:48 [2367] -> Bondsreeks meisjes & gemengd om 08:42 [2181]}).
22:50:47.387 DEBUG [DefaultLocalSearchPhase]     LS step (177), time spent (80612), score (0hard/-8soft), new best score (0hard/-8soft), accepted/selected move count (1000/1141), picked move ([193] Stekene in Bondsreeks & vrije ritmiek  {Bondsreeks & vrije ritmiek jongens om 08:06 [2114] -> Bondsreeks & vrije ritmiek jongens om 08:12 [2120]}).
22:50:47.491 DEBUG [DefaultLocalSearchPhase]     LS step (178), time spent (80716), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1136), picked move ([68] Kruibeke in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 10:00 [2259] -> Bondsreeks meisjes & gemengd om 11:12 [2331]}).
22:50:47.590 DEBUG [DefaultLocalSearchPhase]     LS step (179), time spent (80815), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1138), picked move ([185] Lokeren Heirbrug in Piramide  &  {Piramide meisjes & jongens om 08:36 [2578] -> Piramide meisjes & jongens om 09:00 [2602]}).
22:50:47.689 DEBUG [DefaultLocalSearchPhase]     LS step (180), time spent (80914), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1141), picked move ([69] Temse-Velle in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 08:18 [2157] -> Bondsreeks meisjes & gemengd om 08:24 [2163]}).
22:50:47.775 DEBUG [DefaultLocalSearchPhase]     LS step (181), time spent (81000), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1131), picked move ([2] Zomergem in Basiswimpelen basis {Basiswimpelen basis A om 10:12 [2085] -> Basiswimpelen basis A om 10:24 [2097]}).
22:50:47.867 DEBUG [DefaultLocalSearchPhase]     LS step (182), time spent (81092), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1140), picked move ([51] Opwijk in Basiswimpelen muziek {Basiswimpelen muziek A om 12:00 [2255] -> Basiswimpelen muziek A om 10:36 [2171]}).
